URL,URL Status,Uses AcroForm,Uses XFA Form,Has Fillable Form,PDF Format Version,PDF Size (mb),Creator,Producer,Total PDF Pages,Rendered PDF Pages,Creation Date,Last Modified Date,Days between Created and Modified,Days Since Last Modified,Note
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZF1YGsh7qZV-GxKeaSbEOw4oYnE1iPKUNU1geIZ_IdAboAoRUABJrfk-D6M91by_Nw,200,false,false,false,1.7,0.05,Quadient CXM AG~Inspire~14.0.278.1,,8,8,2023-05-12,2023-05-30,18,318,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZGL7O22Ha6pkYMKxbKu2XbsnxRupOXIsSdNLXxPisT6SOAiq2hHh-KtpSPW2v-acJA,200,false,false,false,1.7,0.25,Quadient CXM AG~Inspire~14.0.293.1,,24,24,2023-08-09,2023-08-29,20,227,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZGKEsaOlKh9HWoZbAr9p1n75fezsPgtBrsFsmCVO53CSU0PYrDRo9WhTBWWi4gAxYg,200,false,false,false,1.7,0.05,Quadient CXM AG~Inspire~14.0.293.1,,8,8,2023-11-02,2023-11-30,28,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZBn_g8IbLzKVIbvfwj4dv8QX8Zfbe1VNiKbgF1lrCYF9ddGyclWmjj5g8Fen2X1IgQ,200,false,false,false,1.7,0.31,Quadient CXM AG~Inspire~14.0.293.1,,40,40,2024-02-13,2024-02-29,16,43,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZM-NBEPR1MnF0t8F0ru0GyLUexRfsyU7PoRYbKTHaWuqRbOopb_aiiWlI4Z-yebIhw,200,false,false,false,1.7,0.2,,iText® 5.1.3 ©2000-2011 1T3XT BVBA,20,20,2023-04-13,2023-05-01,18,347,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZOg9zGEN1XarvT4ZBmzZM8IBc8JekdSXYYdMZJakF0AT3IyQbuqoRUgyM4BjM8TB8g,200,false,false,false,1.7,0.07,Quadient CXM AG~Inspire~14.0.278.1,,12,12,2023-05-17,2023-05-30,13,318,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZFddWXJ3vtbUkTopW7N69zMfTdoN4Wf3jmb0lcqXtOHxGrdroeWlJoeDI6jiQpCipA,200,false,false,false,1.7,0.27,Quadient CXM AG~Inspire~14.0.293.1,,28,28,2023-08-11,2023-08-29,18,227,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZMQijNaCY4JendwMloQ1ugfolMmDgxyR93e5khkRH5R-oVEo8Hnc-k187J1djOYJFQ,200,false,false,false,1.7,0.08,Quadient CXM AG~Inspire~14.0.293.1,,24,24,2023-10-24,2023-11-30,37,134,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZJD5YGPsCKskEoQtTIw3kLI6fDC7lWkxFdApK9_q385RPTkb1AUdPSiiG39bQdJ7gQ,200,false,false,false,1.7,0.33,Quadient CXM AG~Inspire~14.0.293.1,,44,44,2024-02-09,2024-02-29,20,43,
https://live.cloud.api.corebridgefinancial.com/lnr/dbp-fdm-admin/download/100AicF6FGkgO9MMYvefTIwGZHj4RoZdBk7YfC-JGkPo8_qoOX7paapw6QKI_VvmZT8oTd0ruhMLxg7e7fxlcYpOuQ,200,false,false,false,1.7,0.19,,iText® 5.1.3 ©2000-2011 1T3XT BVBA,16,16,2023-04-13,2023-05-01,18,347,
